2021-10-10_15-16-56.236Started
2021-10-10_15-16-56.236Local directory is: E:\Documents\08_Github Local Repo\python_trackir
2021-10-10_15-16-56.236Version: 1.0
2021-10-10_15-16-56.303Timestamp[ms], Frame Number, Roll[deg], Pitch[deg], Yaw[deg], X[m], Y[m], Z[m]
2021-10-10_15-16-58.016,1713,31888,-20.09777,8.72108,-8.21027,64.61084,6.46247,-7.48978
2021-10-10_15-16-58.024,1721,31889,-20.28021,8.01014,-7.73451,64.09068,6.26426,-8.72998
2021-10-10_15-16-58.032,1729,31890,-20.45121,7.19235,-7.25972,63.62053,6.05555,-9.84806
2021-10-10_15-16-58.040,1737,31891,-20.61607,6.36328,-6.77698,63.20756,5.84316,-10.83022
2021-10-10_15-16-58.048,1745,31892,-20.78489,5.62742,-6.28437,62.85695,5.63593,-11.67285
2021-10-10_15-16-58.056,1753,31893,-20.96475,4.85207,-5.74730,62.52829,5.41480,-12.45264
2021-10-10_15-16-58.064,1761,31894,-21.15388,3.93765,-5.25407,62.20806,5.18076,-13.21546
2021-10-10_15-16-58.072,1769,31895,-21.36284,3.10339,-4.68785,61.89592,4.92527,-13.93819
2021-10-10_15-16-58.080,1777,31896,-21.58449,2.33741,-4.11969,61.60904,4.66786,-14.67371
2021-10-10_15-16-58.088,1785,31897,-21.81853,1.60849,-3.53337,61.33389,4.39920,-15.46200
2021-10-10_15-16-58.096,1793,31898,-22.05845,0.82838,-2.92648,61.07081,4.11366,-16.22511
2021-10-10_15-16-58.104,1801,31899,-22.27573,0.16850,-2.26381,60.85081,3.82875,-16.85450
2021-10-10_15-16-58.116,1813,31900,-22.47514,-0.51755,-1.56524,60.65336,3.52431,-17.43548
2021-10-10_15-16-58.124,1821,31901,-22.67984,-1.18019,-0.95285,60.48316,3.20941,-18.09643
2021-10-10_15-16-58.132,1829,31902,-22.90609,-1.90699,-0.34091,60.33646,2.87330,-18.71153
2021-10-10_15-16-58.140,1837,31903,-23.14040,-2.50925,0.35603,60.23322,2.51362,-19.22535
2021-10-10_15-16-58.148,1845,31904,-23.36132,-3.17788,1.02961,60.17591,2.12935,-19.80144
2021-10-10_15-16-58.156,1853,31905,-23.57289,-3.72180,1.60871,60.17356,1.75435,-20.41114
2021-10-10_15-16-58.164,1861,31906,-23.77595,-4.21538,2.27550,60.21259,1.36020,-20.89350
2021-10-10_15-16-58.172,1869,31907,-23.97928,-4.72273,2.90180,60.28036,0.96497,-21.42124
2021-10-10_15-16-58.180,1877,31908,-24.18415,-5.23512,3.48173,60.35533,0.59281,-21.92069
